region,year,sample_version,sample_strategy,n_trees,features,accuracy,f1_weighted,f1_macro,num_features
WGR,2001,3,scaled,50,top_N,0.8682926829268293,0.8524985035863691,0.7709435239632183,50
WGR,2004,3,scaled,50,top_N,0.8620689655172413,0.854113491929121,0.7804784438669867,50
WGR,2007,3,scaled,50,top_N,0.8759124087591241,0.8736787245240899,0.8611527850553425,50
WGR,2010,3,scaled,50,top_N,0.8454106280193237,0.83938690513824,0.8155111927187619,50
WGR,2013,3,scaled,50,top_N,0.855036855036855,0.8501850751234657,0.7994246131180545,50
WGR,2016,3,scaled,50,top_N,0.8964705882352941,0.8918830384533967,0.8430336489597277,50
WGR,2019,3,scaled,50,top_N,0.9057971014492754,0.904749917174434,0.8848707137769638,50
WGR,2022,3,scaled,50,top_N,0.9178743961352656,0.9148707890328336,0.8920597077682779,50
ICR,1995,4,scaled,50,top_N,0.878968253968254,0.8760557997705464,0.8820076292723825,45
ICR,1998,4,scaled,50,top_N,0.9251012145748988,0.9244458627603648,0.9272696297614772,45
ICR,2001,4,scaled,50,top_N,0.8466135458167331,0.8430487346746228,0.8412135141374297,45
ICR,2004,4,scaled,50,top_N,0.8777120315581854,0.875271885997603,0.8668806577612636,45
ICR,2007,4,scaled,50,top_N,0.9118852459016392,0.9111450842319516,0.9009185296290584,45
ICR,2010,4,scaled,50,top_N,0.8812877263581489,0.8814608394018341,0.8807202721810372,45
ICR,2013,4,scaled,50,top_N,0.9012096774193548,0.9000988315629037,0.8894833912412745,45
ICR,2016,4,scaled,50,top_N,0.9243353783231084,0.9224692905655404,0.9187177553093466,45
ICR,2019,4,scaled,50,top_N,0.9153225806451613,0.9142638455664192,0.9130813074270956,45
ICR,2022,4,scaled,50,top_N,0.9129511677282378,0.9113670774583772,0.9009795966507468,45
ICR,1995,4,scaled,50,top_N,0.8928571428571429,0.8892311168591069,0.8925387638846686,50
ICR,1998,4,scaled,50,top_N,0.931174089068826,0.9303828687883824,0.931424648728008,50
ICR,2001,4,scaled,50,top_N,0.8346613545816733,0.832022495253386,0.8331191521210264,50
ICR,2004,4,scaled,50,top_N,0.8875739644970414,0.8855004823631406,0.8789778101633295,50
ICR,2007,4,scaled,50,top_N,0.903688524590164,0.903191489795162,0.8973002278117654,50
ICR,2010,4,scaled,50,top_N,0.8772635814889336,0.8774122560307241,0.8818990174194803,50
