region,year,sample_version,sample_strategy,n_trees,features,accuracy,f1_weighted,f1_macro
PEN,2001,5,scaled,50,static_16,0.825,0.8083709834882802,0.7177465093591453
PEN,2004,5,scaled,50,all,0.881578947368421,0.869543929740615,0.7901672703561202
PEN,2004,5,scaled,50,static_16,0.8217105263157894,0.8078107501398984,0.7304524983951863
PEN,2007,5,scaled,50,all,0.8735255570117956,0.8610794910306232,0.7916658333069775
PEN,2007,5,scaled,50,static_16,0.8315858453473133,0.815827143570236,0.7404559390737242
PEN,2010,5,scaled,50,all,0.8597402597402597,0.8521803721130703,0.8005158750228683
PEN,2010,5,scaled,50,static_16,0.8097402597402598,0.7999039662385455,0.7517711821302224
PEN,2013,5,scaled,50,all,0.8796116504854369,0.8714335171031965,0.818438077887343
PEN,2013,5,scaled,50,static_16,0.8284789644012945,0.8156001967000391,0.761988502385256
PEN,2016,5,scaled,50,all,0.8984867591424969,0.8918457843786683,0.8322229846933913
PEN,2016,5,scaled,50,static_16,0.8663303909205549,0.8552614836485833,0.7797150331637278
PEN,2019,5,scaled,50,all,0.8930581613508443,0.8918135825018824,0.8416159225872926
PEN,2019,5,scaled,50,static_16,0.8524077548467792,0.8475884163143897,0.8029451929002822
PEN,2022,5,scaled,50,all,0.8941398865784499,0.8919630791799844,0.8726793840702463
PEN,2022,5,scaled,50,static_16,0.8657844990548205,0.8614481951788121,0.8352494107571569
NEI,1995,5,scaled,50,all,0.8589285714285714,0.8552833546861228,0.7919275084220367
NEI,1995,5,scaled,50,static_16,0.8375,0.8319692098560784,0.7685191139671236
NEI,1998,5,scaled,50,all,0.8832684824902723,0.8784562914256063,0.8231490616670919
NEI,1998,5,scaled,50,static_16,0.8424124513618677,0.8347745790953126,0.7633661846672248
NEI,2001,5,scaled,50,all,0.8713768115942029,0.868782855161438,0.804892376744041
NEI,2001,5,scaled,50,static_16,0.8460144927536232,0.8411055265747022,0.7680919578751987
NEI,2004,5,scaled,50,all,0.9028571428571428,0.8995372455938576,0.8369143941017594
NEI,2004,5,scaled,50,static_16,0.8571428571428571,0.851801388599788,0.7941445013264168
NEI,2007,5,scaled,50,all,0.8995901639344263,0.8980434492927007,0.8613087824862178
NEI,2007,5,scaled,50,static_16,0.8586065573770492,0.8558549312727015,0.8130796469873788
NEI,2010,5,scaled,50,all,0.8987341772151899,0.8954575742934275,0.8595924913526076
NEI,2010,5,scaled,50,static_16,0.8499095840867993,0.8417051043713843,0.7911028136080702
NEI,2013,5,scaled,50,all,0.8526119402985075,0.8497268872124046,0.8076019398078758
NEI,2013,5,scaled,50,static_16,0.8097014925373134,0.7992712172309349,0.7601050687018638
NEI,2016,5,scaled,50,all,0.9055944055944056,0.904060366637292,0.8621478899368913
NEI,2016,5,scaled,50,static_16,0.8566433566433567,0.8526772363356482,0.8033624836516478
NEI,2019,5,scaled,50,all,0.9142857142857144,0.912875256703061,0.8885739969062476
NEI,2019,5,scaled,50,static_16,0.8625,0.8596005988481316,0.8093522797667364
NEI,2022,5,scaled,50,all,0.88996138996139,0.8882900333205911,0.8448153190314841
NEI,2022,5,scaled,50,static_16,0.8552123552123552,0.8512010998770503,0.8025640337496589
WGR,1995,3,scaled,50,all,0.8677884615384616,0.8606281557662073,0.7995954706453918
WGR,1995,3,scaled,50,static_16,0.8485576923076923,0.8407293026935605,0.780649830492048
WGR,1998,3,scaled,50,all,0.8465116279069768,0.8426283416925272,0.7949804964433191
WGR,1998,3,scaled,50,static_16,0.8488372093023255,0.8448001815428654,0.800665538747227
WGR,2001,3,scaled,50,all,0.8829268292682927,0.869178195051333,0.7940184105255103
WGR,2001,3,scaled,50,static_16,0.8536585365853658,0.8401297767296075,0.7639869191543207
WGR,2004,3,scaled,50,all,0.864367816091954,0.8564716438058453,0.778374363327674
WGR,2004,3,scaled,50,static_16,0.8091954022988506,0.8013905729700068,0.720224954338654
WGR,2007,3,scaled,50,all,0.8856447688564477,0.8835355066703527,0.868001625557355
WGR,2007,3,scaled,50,static_16,0.8223844282238443,0.8098168792420333,0.7519041851697001
WGR,2010,3,scaled,50,all,0.8502415458937198,0.8448202834493183,0.8250634931908392
WGR,2010,3,scaled,50,static_16,0.8285024154589372,0.8190490960276409,0.7869350102272687
WGR,2013,3,scaled,50,all,0.8697788697788698,0.8658199681010094,0.8200959835500075
WGR,2013,3,scaled,50,static_16,0.8329238329238329,0.8240227473664921,0.7312390430035391
WGR,2016,3,scaled,50,all,0.88,0.8736743933789369,0.8101604368511539
WGR,2016,3,scaled,50,static_16,0.8564705882352941,0.8537514751594241,0.809185116136141
WGR,2019,3,scaled,50,all,0.8961352657004831,0.8940193166369452,0.8781374584402575
WGR,2019,3,scaled,50,static_16,0.8236714975845411,0.8172291285878797,0.7790177384651673
WGR,2022,3,scaled,50,all,0.9057971014492754,0.9002024191536152,0.8664713334083313
WGR,2022,3,scaled,50,static_16,0.8864734299516909,0.8795900601739857,0.8393873417320892
ICR,1995,4,scaled,50,all,0.9007936507936508,0.8979279213973282,0.8995852005183078
ICR,1995,4,scaled,50,static_16,0.8571428571428571,0.8554994576494617,0.8621013189022002
ICR,1998,4,scaled,50,all,0.9210526315789472,0.9199984043390976,0.922555197511102
ICR,1998,4,scaled,50,static_16,0.8967611336032388,0.8926542029565834,0.8989603917471494
ICR,2001,4,scaled,50,all,0.8605577689243028,0.8584777786265729,0.859479374891116
ICR,2001,4,scaled,50,static_16,0.8247011952191236,0.8232219176479288,0.8242482892637691
ICR,2004,4,scaled,50,all,0.8915187376725838,0.8899932521096243,0.8874085015770015
ICR,2004,4,scaled,50,static_16,0.8461538461538461,0.8429066372430335,0.8306399967016816
ICR,2007,4,scaled,50,all,0.8934426229508197,0.8929141845449551,0.8839642670802422
ICR,2007,4,scaled,50,static_16,0.8647540983606558,0.8664366265303748,0.8609622411179457
ICR,2010,4,scaled,50,all,0.8893360160965795,0.8892954000194373,0.893996590412676
ICR,2010,4,scaled,50,static_16,0.8490945674044266,0.8487263997443365,0.84832017973116
ICR,2013,4,scaled,50,all,0.9193548387096774,0.9187323920380458,0.9110630361495656
ICR,2013,4,scaled,50,static_16,0.8568548387096774,0.8552972176178139,0.8484953986636785
ICR,2016,4,scaled,50,all,0.9243353783231084,0.9214430317289378,0.915777833973461
ICR,2016,4,scaled,50,static_16,0.8997955010224948,0.8982303623952569,0.8960729141525275
ICR,2019,4,scaled,50,all,0.9274193548387096,0.9263771918182478,0.922807129450302
ICR,2019,4,scaled,50,static_16,0.8971774193548387,0.8961074274887687,0.891298037538465
ICR,2022,4,scaled,50,all,0.8980891719745223,0.8955918809985828,0.8829981751726512
ICR,2022,4,scaled,50,static_16,0.8683651804670913,0.8657605253029609,0.8613209672873811
HIM,1995,4,scaled,50,top_N,0.8813008130081301,0.8786722305417516,0.8672974165839592
HIM,1998,4,scaled,50,top_N,0.9191616766467066,0.9185859784184285,0.9135652833550595
HIM,2001,4,scaled,50,top_N,0.9003115264797508,0.9003316129359054,0.9013085763341326
HIM,2004,4,scaled,50,top_N,0.9385826771653544,0.9381956049435101,0.9254362522456616
HIM,2007,4,scaled,50,top_N,0.9244992295839753,0.9219815987264256,0.9027233871517356
HIM,2010,4,scaled,50,top_N,0.9185867895545314,0.9181913304596244,0.9160801212854681
HIM,2013,4,scaled,50,top_N,0.9085271317829458,0.9078131949393139,0.9179444845171534
HIM,2016,4,scaled,50,top_N,0.889367816091954,0.8886847681533666,0.8906937292464365
HIM,2019,4,scaled,50,top_N,0.8813559322033898,0.8794416110487915,0.8761132527865574
HIM,2022,4,scaled,50,top_N,0.8972712680577849,0.8943311164227314,0.8787256347450517
IGP,1995,5,scaled,50,top_N,0.9064558629776021,0.9005805344824703,0.8476764090614204
IGP,1998,5,scaled,50,top_N,0.9246753246753247,0.9205388907770213,0.8940474276666919
IGP,2001,5,scaled,50,top_N,0.9,0.8920585327730732,0.8598245301942011
IGP,2004,5,scaled,50,top_N,0.9159891598915989,0.9118127043177617,0.8581419391486769
IGP,2007,5,scaled,50,top_N,0.9428934010152284,0.9408789066388075,0.9147605743176008
IGP,2010,5,scaled,50,top_N,0.9422535211267605,0.9410332424328857,0.928784118518124
IGP,2013,5,scaled,50,top_N,0.9471598414795245,0.9450810403520872,0.9120941443601672
IGP,2016,5,scaled,50,top_N,0.9371794871794872,0.9356306460917375,0.9095228201223408
IGP,2019,5,scaled,50,top_N,0.9313850063532402,0.9304383031787749,0.9086893586694458
IGP,2022,5,scaled,50,top_N,0.9505208333333334,0.9499953770191123,0.9282853780582453
DES,1995,7,scaled,50,top_N,0.8935762224352828,0.8940661327124798,0.9031140135778764
DES,1998,7,scaled,50,top_N,0.9267364414843007,0.9269347202560932,0.9363885913229835
DES,2001,7,scaled,50,top_N,0.9027272727272727,0.9022446797673542,0.8994299424800009
DES,2004,7,scaled,50,top_N,0.9277673545966229,0.9280299951352285,0.9374781717922217
DES,2007,7,scaled,50,top_N,0.9125939849624061,0.9119474522772635,0.905765626634482
DES,2010,7,scaled,50,top_N,0.9184060721062619,0.9180609751267483,0.9113020349820355
DES,2013,7,scaled,50,top_N,0.9148737137511693,0.9140658324907206,0.9158593180091059
DES,2016,7,scaled,50,top_N,0.9360301034807149,0.9358108306753234,0.9395660562606903
DES,2019,7,scaled,50,top_N,0.9193548387096774,0.9185821609091454,0.9329292884224761
DES,2022,7,scaled,50,top_N,0.9337016574585635,0.9338302611293614,0.928643934713071
PEN,1995,5,scaled,50,top_N,0.823003194888179,0.8102668271521497,0.7347738120274021
PEN,1998,5,scaled,50,top_N,0.8414096916299559,0.8273635556848491,0.7416629536287196
PEN,2001,5,scaled,50,top_N,0.8551282051282051,0.8411963649427716,0.7538377056142567
PEN,2004,5,scaled,50,top_N,0.8381578947368421,0.8241892470729175,0.7388686179416283
PEN,2007,5,scaled,50,top_N,0.8446920052424639,0.8284927211609691,0.7501730149881187
PEN,2010,5,scaled,50,top_N,0.8376623376623377,0.8288818792037432,0.7857303821698091
PEN,2013,5,scaled,50,top_N,0.8336569579288026,0.8232304588121275,0.7765157427687882
PEN,2016,5,scaled,50,top_N,0.8713745271122321,0.8651844204076287,0.8131593608403533
PEN,2019,5,scaled,50,top_N,0.8724202626641651,0.8679212605377562,0.8275839018130526
PEN,2022,5,scaled,50,top_N,0.8746061751732829,0.8718418191724635,0.8498980094076423
NEI,1995,5,scaled,50,top_N,0.8642857142857143,0.8600980783147022,0.7938257645560612
NEI,1998,5,scaled,50,top_N,0.8521400778210116,0.8440253284563264,0.7798711325908952
NEI,2001,5,scaled,50,top_N,0.855072463768116,0.8503896559178322,0.7799705197834823
NEI,2004,5,scaled,50,top_N,0.878095238095238,0.8726814324078049,0.8019507956774352
NEI,2007,5,scaled,50,top_N,0.875,0.8736370359434028,0.8380670503180574
NEI,2010,5,scaled,50,top_N,0.8752260397830018,0.8680441164782414,0.8218748228647375
NEI,2013,5,scaled,50,top_N,0.8488805970149254,0.8438133451279309,0.8100474562275454
NEI,2016,5,scaled,50,top_N,0.9055944055944056,0.9038892172544724,0.8704161634100501
NEI,2019,5,scaled,50,top_N,0.8857142857142857,0.8850271082446646,0.8622594946667327
NEI,2022,5,scaled,50,top_N,0.8648648648648649,0.861261519691087,0.812471801592304
WGR,1995,3,scaled,50,top_N,0.8461538461538461,0.8350367160262121,0.7686219873796278
WGR,1998,3,scaled,50,top_N,0.8255813953488372,0.819519303286169,0.7865947574157648
WGR,2001,3,scaled,50,top_N,0.8512195121951219,0.8355757461186256,0.7556614475247752
WGR,2004,3,scaled,50,top_N,0.825287356321839,0.8166526599110778,0.7452127222688927
WGR,2007,3,scaled,50,top_N,0.8467153284671532,0.8422071275377293,0.8276990492456828
WGR,2010,3,scaled,50,top_N,0.8260869565217391,0.8183227339248282,0.7920346812957495
WGR,2013,3,scaled,50,top_N,0.8378378378378378,0.8333071544384368,0.7864753326206129
WGR,2016,3,scaled,50,top_N,0.8894117647058823,0.8809885954491965,0.8114723021622559
WGR,2019,3,scaled,50,top_N,0.8864734299516909,0.8857934103570086,0.8642522360216456
WGR,2022,3,scaled,50,top_N,0.8961352657004831,0.8892090628776416,0.8533251478372821
ICR,1995,4,scaled,50,top_N,0.8630952380952381,0.8614745506622259,0.8693546346045424
ICR,1998,4,scaled,50,top_N,0.9129554655870445,0.911915260885551,0.911260638590169
ICR,2001,4,scaled,50,top_N,0.8426294820717132,0.8393785807537544,0.8370953861029992
ICR,2004,4,scaled,50,top_N,0.8658777120315582,0.8632251746978878,0.8539583966953214
ICR,2007,4,scaled,50,top_N,0.8954918032786885,0.8946619096593913,0.8876664275277224
ICR,2010,4,scaled,50,top_N,0.8752515090543259,0.874771413521335,0.8775303927549944
ICR,2013,4,scaled,50,top_N,0.9012096774193549,0.8999922916160293,0.888788572329268
ICR,2016,4,scaled,50,top_N,0.9202453987730062,0.918061376301663,0.9133225344549074
ICR,2019,4,scaled,50,top_N,0.8971774193548387,0.8955842842347559,0.8897181944408731
ICR,2022,4,scaled,50,top_N,0.9044585987261147,0.9030545748309738,0.8948421384384617
