,band,importance,year
72,soil_median_dry,0.8161667966222721,1995
73,soil_max,0.814273174278569,1995
74,gvs_stdDev,0.8076850238177689,1995
75,gvs_amp,0.8069006224994811,1995
76,soil_amp,0.7932094063808284,1995
77,sefi_median,0.7853725741659514,1995
78,gvs_max,0.7811571977951212,1995
79,swir2_median,0.7778171874422826,1995
80,cloud_min,0.7755103833105514,1995
81,npv_median_dry,0.7723950729393911,1995
82,ndfi_median_wet,0.771167112158499,1995
83,cloud_amp,0.763302954851334,1995
84,shade_median,0.7585746813737466,1995
85,gv_max,0.7562498949724726,1995
86,shade_max,0.7561587371904052,1995
87,npv_median_wet,0.7535029230706274,1995
88,cloud_median_wet,0.752467234888443,1995
89,ndfi_max,0.7432464515659818,1995
90,wefi_stdDev,0.7420928521983706,1995
91,gvs_median_wet,0.7290665514133032,1995
92,npv_amp,0.7264561000082543,1995
93,wefi_amp,0.7215803837611832,1995
94,cloud_median_dry,0.7195077369119595,1995
95,savi_stdDev,0.7194109122359418,1995
96,wefi_median,0.7160774398364129,1995
97,ndfi_stdDev,0.7141155126443709,1995
98,soil_median_wet,0.7004726127696588,1995
99,swir1_median_dry,0.6792486080830586,1995
100,gv_amp,0.6785297186772798,1995
101,shade_stdDev,0.6666909728208398,1995
102,ndfi_median,0.6123442509854595,1995
103,ndfi_amp,0.6071288083413209,1995
104,gv_median_wet,0.5998244452173922,1995
105,soil_stdDev,0.5988367410929867,1995
106,soil_min,0.5524400737082337,1995
107,npv_min,0.538375565516903,1995
108,gvs_median,0.5344169213215592,1995
109,gv_stdDev,0.5316863848793691,1995
110,gv_median,0.45981879606425624,1995
111,cloud_stdDev,0.4345891873993725,1995
112,ndfi_median_dry,0.4269972288905666,1995
113,npv_stdDev,0.4238950341792639,1995
114,gvs_median_dry,0.41873358482141815,1995
115,gvs_min,0.3255509363835839,1995
116,gv_median_dry,0.313402900966821,1995
117,gv_min,0.3122255982871451,1995
118,ndfi_min,0.310344574719964,1995
119,pri_median,1.5924520534136897,2005
120,pri_median_wet,1.2653892591632825,2005
121,slope,1.2429803535022155,2005
122,pri_median_dry,1.1847227453687634,2005
123,cai_median,1.1693883379868215,2005
124,cai_median_dry,1.1528069250365167,2005
125,green_min,1.1508840433582075,2005
